كود الايزيك,النشاط الاقتصادي,رقم النشاط التفصيلي,اسم النشاط التفصيلي
561010,المطاعم مع الخدمة,1319,المطاعم مع الخدمة
107110,صناعة الخبز البلدي المحلي,40,مخبز تميس
562112,متعهدي الاعاشة بالحج والعمرة,1346,متعهدي الاعاشة بالحج والعمرة
561092,محلات شوي الأسماك والمأكولات البحرية,1767,محلات شوي الأسماك والمأكولات البحرية
563014,محلات البوظة  الأيسكريم,1771,محلات البوظة الأيسكريم
561031,أنشطة الوجبات السريعة   يشمل  محلات البيتزا,1764,أنشطة الوجبات السريعة  يشمل محلات البيتزا
471132,التموينات,527,التموينات
471131,البقالات,526,محلات البقالة
477262,البيع بالتجزئة للعطور,656,بيع عطورات وأدوات تجميل بالتجزئة
472161,البيع بالتجزئة لمنتجات المخابز والحلويات السكرية,1668,البيع بالتجزئة لمنتجات المخابز والحلويات السكرية
960220,الصالونات الرجالية,1888,الصالونات الرجالية
472170,البيع بالتجزئة للمكسرات والبن والتوابل والعطارة,1292,البيع بالتجزئة للمكسرات والبن والتوابل والعطارة
463076,البيع بالجملة للأغذية والمشروبات,1611,البيع بالجملة للأغذية والمشروبات
472112,البيع بالتجزئة للتمور,837426,البيع بالتجزئة للتمور
432240,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,1564,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها
561021,البوفيهات  الكافيتريات,1763,البوفيهات  الكافيتريات
452081,صيانة واصلاح وتبديل اطارات السيارات الخفيفة  البنشر,1595,صيانة واصلاح وتبديل اطارات السيارات الخفيفة البنشر
563011,محلات تقديم المشروبات الكوفي شوب,1770,محلات تقديم المشروبات الكوفي شوب
472111,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,1661,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة
960110,غسل وكي والتنظيف الجاف لشتى أنواع الملابس بما فيها الفراء والمنسوجات وتشمل جمع وتوزيع الغسيل,859399,المتاجر المغلقة لغسل وكي والتنظيف الجاف لشتى أنواع الملابس بما فيها الفراء والمنسوجات وتشمل جمع وتوزيع الغسيل
463013,البيع بالجملة للتمور,1612,البيع بالجملة للتمور
551011,الفنادق,1758,الفنادق
563020,تقديم العصائر الطازجة و المشروبات الباردة,1772,تقديم العصائر الطازجة و المشروبات الباردة
477114,البيع بالتجزئة للملابس الجاهزة للمحلات المشتركة,1705,البيع بالتجزئة للملابس الجاهزة للمحلات المشتركة
477130,البيع بالتجزئة للكماليات وللإكسسوارات الملابس يشمل القفازات وأربطة العنق والحمالات والسبح والمظلات,855490,البيع بالتجزئة للكماليات وللإكسسوارات الملابس يشمل القفازات وأربطة العنق والحمالات والسبح والمظلات داخل محلات الخياطة
478100,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,852855,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق
107120,صناعة الخبز ومنتجاته بواسطة المخابز الآلية,42,مخبز نصف آلي
477112,البيع بالتجزئة للملابس الجاهزة النسائية,634,البيع بالتجزئة للملابس الجاهزة النسائية
472121,البيع بالتجزئة لمنتجات الألبان والبيض والزيتون والمخللات,525,بيع ألبان طازجة ومشتقاتها
471121,الأسواق المركزية للمواد الغذائية والاستهلاكية,1658,الأسواق المركزية للمواد الغذائية والاستهلاكية
562111,مطابخ إعداد الولائم والحفلات,1768,مطابخ إعداد الولائم للحفلات
461032,أنشطة الاستيراد,435,مكتب استيراد وتسويق المواشي
475250,البيع بالتجزئة للأدوات الكهربائية وتمديداتها,1686,البيع بالتجزئة للأدوات الكهربائية وتمديداتها
259371,صناعة الأقفال وتشكيل المفاتيح,208,نسخ وإصلاح المفاتيح
452021,اصلاح ميكانيكا وكهرباء السيارات,1582,اصلاح ميكانيكا وكهرباء السيارات
477361,البيع بالتجزئة للاعمال والمشغولات اليدوية والتحف والهدايا,1726,البيع بالتجزئة للاعمال والمشغولات اليدوية والتحف والهدايا
472130,البيع بالتجزئة للحوم ومنتجات اللحوم,1665,البيع بالتجزئة للحوم ومنتجات اللحوم
463055,البيع بالجملة للعسل,1614,البيع بالجملة للعسل
477230,البيع بالتجزئة لمستحضرات التجميل وصابون الزينة,1710,البيع بالتجزئة لمستحضرات التجميل وصابون الزينة
463022,البيع بالجملة للبيض ومنتجاته,849751,البيع بالجملة للبيض ومنتجاته
477122,البيع بالتجزئة لأصناف العبايات النسائية والفراء,834504,البيع بالتجزئة لأصناف العبايات النسائية والفراء
463053,البيع بالجملة لمنتجات القهوة والشاي,849718,البيع بالجملة لمنتجات القهوة والشاي
474110,البيع بالتجزئة للحواسيب وملحقاتها  يشمل الطابعات وأحبارها,1674,البيع بالتجزئة للحواسيب وملحقاتها  يشمل الطابعات وأحبارها
141060,تفصيل وخياطة الملابس النسائية  محلات تفصيل الملابس النسائية مثل المشاغل النسائية,1442,تفصيل وخياطة الملابس النسائية محلات تفصيل الملابس النسائية مثل المشاغل النسائية
