رقم الرخصة,اسم المنشأة,رقم الجهة
10003623120,"المشاولة, شربتلي and الحكير #14726",7711689530
10005257900,"آل معيض, أبا الخيل and آل خضير #10637",2418604627
10008035278,المغاولة Ltd #3177,4709344978
10013508748,الحكير-العليان #8975,1797881019
10016610607,المشاولة Group #8428,9086301334
10019882757,حجار-آل جعفر #6029,9118975092
10020052641,الخرافي Ltd #5293,5324586219
10022452779,"المهنا, شربتلي and آل قصير #5874",3192185544
10025026044,كانو Ltd #10494,1882835630
10026434480,آل محمد بن علي بن جماز-الشايع #344,1729205500
10028946724,آل الشيخ and Sons #3452,5335899381
10032153838,كانو Group #2860,2997199618
10035198924,آل محمد بن علي بن جماز-بن لادن #1086,1720059776
10038162372,"العقيل, آل رفيع and الحجار #14083",5735656811
10039624415,شربتلي-آل عطفة #14539,1141238884
10049360637,المشاولة Group #9772,9407749215
10051016555,"آل معيض, المهنا and آل علي #10594",1987685194
10051533964,آل سعود PLC #14566,4981325719
10055473992,"أبو داوود, آل سعود and بن لادن #6389",1474528069
10062049250,بقشان Group #721,9468576327
10063106486,العجلان Ltd #3839,3481051557
10065752574,آل العسكري-آل سعود #15096,3394153319
10066100647,مهنا LLC #11765,8822205249
10071578224,آل بن ظافر Inc #10590,9512445946
10076760938,آل حسين-الخرافي #483,4026294777
10080200516,"المهيدب, آل سلطان and آل رفيع #1301",5668251691
10082840963,الشايع-العليان #17,8696526922
10084169982,"شربتلي, الراشد and بقشان #10301",4125667408
10085001433,آل مقطة PLC #14851,8945578726
10085739500,"آل رفيع, آل قصير and بقشان #8131",5164153877
10087006959,المهنا and Sons #6749,3928446954
10087485675,"أبا الخيل, الجفالي and آل خضير #159",6143311971
10088026326,آل خضير-الجفالي #4704,1142722557
10089142739,آل جعفر Group #347,7656615625
10092555545,"آل معيض, الشايع and أبا الخيل #11038",2433689845
10096145040,"آل بن لافي, آل الشيخ and المهيدب #1935",1616525599
10101933148,آل عايض-الجفالي #5000,3941439708
10104311528,"الشايع, آل علي and المغاولة #12849",6323368469
10105276953,آل معيض and Sons #18410,1543116458
10122985067,"شربتلي, آل عواض and المشاولة #3040",4649258528
10129068493,آل بن ظافر and Sons #3608,8435986364
10133021783,"الجفالي, المهنا and آل محمد بن علي بن جماز #3817",3641956433
10133474272,"الجابر, مهنا and حجار #9501",2612445815
10134394939,بن لادن-المشاولة #6303,8232384040
10136489811,"فصيل, المشاولة and آل قصير #15434",6420043737
10137259227,"آل بن ظافر, العليان and آل محمد بن علي بن جماز #12485",8380811569
10138087223,آل الشيخ Inc #5473,4204610947
10142839848,"المهيدب, آل معيض and الراشد #2770",3488235745
