مفتاح الموقع,البلدية,اسم الحي
العوالي|العريض,العوالي,العريض
العوالي|الاناهي,العوالي,الاناهي
العوالي|الدويخلة,العوالي,الدويخلة
العوالي|الخالدية,العوالي,الخالدية
العوالي|الصويدرة,العوالي,الصويدرة
العوالي|العاقول,العوالي,العاقول
أحد|المطار,أحد,المطار
قباء|القصواء,قباء,القصواء
قباء|الظاهرة,قباء,الظاهرة
قباء|الجمعة,قباء,الجمعة
أحد|العيون,أحد,العيون
العوالي|الإسكان,العوالي,الإسكان
العوالي|شـظاة,العوالي,شـظاة
قباء|الدويمة,قباء,الدويمة
العقيق|ذو الحليفة,العقيق,ذو الحليفة
العقيق|حرة الوبرة,العقيق,حرة الوبرة
العقيق|الأصيفرين,العقيق,الأصيفرين
العوالي|جشم,العوالي,جشم
قباء|الرانوناء,قباء,الرانوناء
العوالي|بنى ظفر,العوالي,بنى ظفر
العقيق|القبلتين,العقيق,القبلتين
العوالي|الملك فهد,العوالي,الملك فهد
العوالي|المبعوث,العوالي,المبعوث
العقيق|الدفاع,العقيق,الدفاع
قباء|السد,قباء,السد
قباء|شوران,قباء,شوران
بلدية المنطقة المركزية|بضاعة,بلدية المنطقة المركزية,بضاعة
العقيق|سكة الحديد,العقيق,سكة الحديد
العوالي|وادي مذينب,العوالي,وادي مذينب
بلدية المنطقة المركزية|بني خدرة,بلدية المنطقة المركزية,بني خدرة
قباء|المغيسلة,قباء,المغيسلة
العوالي|الهدراء,العوالي,الهدراء
قباء|قربان,قباء,قربان
قباء|العصبة,قباء,العصبة
قباء|العهن,قباء,العهن
أحد|وعيرة,أحد,وعيرة
أحد|مسجد الدرع,أحد,مسجد الدرع
أحد|العريض,أحد,العريض
أحد|المصانع,أحد,المصانع
أحد|الفتح,أحد,الفتح
أحد|البركة,أحد,البركة
بلدية المنطقة المركزية|النقا,بلدية المنطقة المركزية,النقا
قباء|الحديقة,قباء,الحديقة
أحد|الراية,أحد,الراية
بلدية المنطقة المركزية|المناخة,بلدية المنطقة المركزية,المناخة
أحد|جبل أحد,أحد,جبل أحد
